,Cluster_0,Cluster_1,Cluster_2
Edad,1.0760296423838347,0.8906968788805896,0.999913264319858
RENTA_MEDIA_ESTIMADA,0.9270253818633695,1.0857130018553727,1.0288854749506535
Numero_Veces_Lead,0.7634891691839418,0.7621368447237932,1.8672428341284701
Total_Compras,0.808908614992326,0.7996515057374776,1.7129467507489986
PVP_Total,0.8026080761877016,0.7825376463257333,1.7522184894884087
Dias_Desde_Ultima_Compra,0.6158990561362079,1.80803795798815,0.6166109246522571
Edad_Media_Coche,0.46946659869112395,1.7657562119712522,0.9960427745017881
Total_Revisiones,0.25348628287831976,1.5368771975272222,1.8055026182196279
Coste_Medio_Cliente,0.9599397995304103,1.0388362287567323,1.0281844303249303
Margen_Bruto_Medio,1.024744313504397,0.9479285944344795,1.0247231841139766
Dias_Medios_Desde_Ultima_Revision,0.17577123398434621,2.2094145083640973,0.9642262463971291
Km_Medio_por_Revision,0.4985946514937325,1.6778424598376154,1.0650789396362295
